Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
RHS,200  x  120 x 5,24.1,200,120,5,5,,,,,1680,762,,,,,205,144,,,,,
RHS,200  x  120 x 6.3,30.1,200,120,6.3,6.3,,,,,2060,929,,,,,253,177,,,,,
RHS,200  x  120 x 8,37.6,200,120,8,8,,,,,2530,1130,,,,,313,218,,,,,
RHS,200  x  120 x 10,46.3,200,120,10,10,,,,,3030,1340,,,,,379,263,,,,,
RHS,200  x  120 x 12.5,56.6,200,120,12.5,12.5,,,,,3580,1560,,,,,455,314,,,,,
RHS,200  x  120 x 14.2,63.3,200,120,14.2,14.2,,,,,3910,1690,,,,,503,346,,,,,
RHS,200  x  120 x 16,70.2,200,120,16,16,,,,,4220,1810,,,,,550,377,,,,,
RHS,200  x  150  x 5,26.5,200,150,5,5,,,,,1970,1260,,,,,234,192,,,,,
RHS,200  x  150 x 6.3,33,200,150,6.3,6.3,,,,,2420,1550,,,,,289,237,,,,,
RHS,200  x  150 x 8,41.4,200,150,8,8,,,,,2970,1890,,,,,359,294,,,,,
RHS,200  x  150  x 10,51,200,150,10,10,,,,,3570,2260,,,,,436,356,,,,,
RHS,200  x  150 x 12.5,62.5,200,150,12.5,12.5,,,,,4240,2670,,,,,525,428,,,,,
RHS,200  x  150 x 14.2,70,200,150,14.2,14.2,,,,,4640,2920,,,,,582,473,,,,,
RHS,200  x  150 x 16,77.7,200,150,16,16,,,,,5040,3150,,,,,638,518,,,,,
RHS,250  x  100 x 5,26.5,250,100,5,5,,,,,2610,618,,,,,263,138,,,,,
RHS,250  x  100 x 6.3,33,250,100,6.3,6.3,,,,,3210,751,,,,,326,169,,,,,
RHS,250  x  100 x 8,41.4,250,100,8,8,,,,,3940,909,,,,,404,209,,,,,
RHS,250  x  100 x 10,51,250,100,10,10,,,,,4730,1070,,,,,491,251,,,,,
RHS,250  x  100 x 12.5,62.5,250,100,12.5,12.5,,,,,5620,1240,,,,,592,299,,,,,
RHS,250  x  100 x 14.2,70,250,100,14.2,14.2,,,,,6160,1340,,,,,655,329,,,,,
RHS,250  x  100 x 16,77.7,250,100,16,16,,,,,6690,1430,,,,,719,358,,,,,
RHS,250  x  150 x 5,30.4,250,150,5,5,,,,,3360,1530,,,,,324,228,,,,,
RHS,250  x  150 x 6.3,38,250,150,6.3,6.3,,,,,4140,1870,,,,,402,283,,,,,
RHS,250  x  150 x 8,47.7,250,150,8,8,,,,,5110,2300,,,,,501,350,,,,,
RHS,250  x  150 x 10,58.8,250,150,10,10,,,,,6170,2760,,,,,611,426,,,,,
RHS,250  x  150 x 12.5,72.3,250,150,12.5,12.5,,,,,7390,3260,,,,,740,514,,,,,
RHS,250  x  150 x 14.2,81.1,250,150,14.2,14.2,,,,,8140,3580,,,,,823,570,,,,,
RHS,250  x  150 x 16,90.3,250,150,16,16,,,,,8880,3870,,,,,906,625,,,,,
RHS,250  x  150 x 17.5,97.7,250,150,17.5,17.5,,,,,9450,4100,,,,,972,669,,,,,
RHS,300  x  100 x 5,30.4,300,100,5,5,,,,,4150,731,,,,,354,161,,,,,
RHS,300  x  100 x 6.3,38,300,100,6.3,6.3,,,,,5110,890,,,,,439,199,,,,,
RHS,300  x  100 x 8,47.7,300,100,8,8,,,,,6300,1080,,,,,546,245,,,,,
RHS,300  x  100 x 10,58.8,300,100,10,10,,,,,7610,1280,,,,,666,296,,,,,
RHS,300  x  100 x 12.5,72.3,300,100,12.5,12.5,,,,,9100,1490,,,,,806,354,,,,,
RHS,300  x  100 x 14.2,81.1,300,100,14.2,14.2,,,,,10000,1610,,,,,896,390,,,,,
RHS,300  x  100 x 16,90.3,300,100,16,16,,,,,10900,1720,,,,,986,425,,,,,
RHS,300  x  100 x 17.5,97.7,300,100,17.5,17.5,,,,,11600,1800,,,,,1060,452,,,,,
RHS,300  x  200 x 5,38.3,300,200,5,5,,,,,6320,3400,,,,,501,380,,,,,
RHS,300  x  200 x 6.3,47.9,300,200,6.3,6.3,,,,,7830,4190,,,,,624,472,,,,,
RHS,300  x  200 x 8,60.3,300,200,8,8,,,,,9720,5180,,,,,779,589,,,,,
RHS,300  x  200 x 10,74.5,300,200,10,10,,,,,11800,6280,,,,,956,721,,,,,
RHS,300  x  200 x 12.5,91.9,300,200,12.5,12.5,,,,,14300,7540,,,,,1160,877,,,,,
RHS,300  x  200 x 14.2,103,300,200,14.2,14.2,,,,,15800,8330,,,,,1300,978,,,,,
RHS,300  x  200 x 16,115,300,200,16,16,,,,,17400,9110,,,,,1440,1080,,,,,
RHS,300  x  200 x 17.5,125,300,200,17.5,17.5,,,,,18600,9720,,,,,1550,1160,,,,,
RHS,350  x  150 x 5,38.3,350,150,5,5,,,,,7660,2050,,,,,543,301,,,,,
RHS,350  x  150 x 6.3,47.9,350,150,6.3,6.3,,,,,9480,2520,,,,,676,373,,,,,
RHS,350  x  150 x 8,60.3,350,150,8,8,,,,,11800,3100,,,,,844,464,,,,,
RHS,350  x  150 x 10,74.5,350,150,10,10,,,,,14300,3740,,,,,1040,566,,,,,
RHS,350  x  150  x 12.5,91.9,350,150,12.5,12.5,,,,,17300,4450,,,,,1260,686,,,,,
RHS,350  x  150 x 14.2,103,350,150,14.2,14.2,,,,,19200,4890,,,,,1410,763,,,,,
RHS,350  x  150 x 16,115,350,150,16,16,,,,,21100,5320,,,,,1560,840,,,,,
RHS,350  x  150 x 17.5,125,350,150,17.5,17.5,,,,,22600,5640,,,,,1680,900,,,,,
RHS,350  x  250 x 6.3,57.8,350,250,6.3,6.3,,,,,13200,7880,,,,,892,709,,,,,
RHS,350  x  250 x 8,72.8,350,250,8,8,,,,,16400,9800,,,,,1120,888,,,,,
RHS,350  x  250 x 10,90.2,350,250,10,10,,,,,20100,11900,,,,,1380,1090,,,,,
RHS,350  x  250 x 12.5,112,350,250,12.5,12.5,,,,,24400,14400,,,,,1680,1330,,,,,
RHS,350  x  250 x 14.2,126,350,250,14.2,14.2,,,,,27200,16000,,,,,1890,1490,,,,,
RHS,350  x  250 x 16,141,350,250,16,16,,,,,30000,17700,,,,,2100,1660,,,,,
RHS,350  x  250 x 17.5,153,350,250,17.5,17.5,,,,,32200,18900,,,,,2260,1780,,,,,
RHS,400  x  200 x 6.3,57.8,400,200,6.3,6.3,,,,,15700,5380,,,,,960,594,,,,,
RHS,400  x  200 x 8,72.8,400,200,8,8,,,,,19600,6660,,,,,1200,743,,,,,
RHS,400  x  200 x 10,90.2,400,200,10,10,,,,,23900,8080,,,,,1480,911,,,,,
RHS,400  x  200 x 12.5,112,400,200,12.5,12.5,,,,,29100,9740,,,,,1810,1110,,,,,
